instrument_key,exchange_token,"SYMBOL 
",name,last_price
NSE_EQ|INE00LM01029,8806,SONAMLTD,SONAM LIMITED,39.81
NSE_EQ|INE606A01024,2598,AMJLAND,AMJ LAND HOLDINGS LIMITED,39.87
NSE_EQ|INE630Y01024,9673,MEDICO,MEDICO REMEDIES LIMITED,39.99
NSE_EQ|INE064C01022,9685,TRIDENT,TRIDENT LIMITED,40.03
NSE_EQ|INE660C01027,2454,CENTRUM,CENTRUM CAPITAL LIMITED,40.26
NSE_EQ|INE560K01014,22602,PFS,PTC INDIA FIN SERV LTD,40.31
NSE_EQ|INE225C01029,7276,UDAICEMENT,UDAIPUR CEMENT WORKS LTD,40.34
NSE_EQ|INE481Z01011,7791,UNIINFO,UNIINFO TELECOM SERVI LTD,40.59
NSE_EQ|INE946H01037,8437,VIPULLTD,VIPUL LIMITED,40.61
NSE_EQ|INE661I01014,15193,BGRENERGY,BGR ENERGY SYSTEMS LTD,40.74
NSE_EQ|INE020J01029,16709,GOKUL,GOKUL REFOILS & SOLV LTD,40.74
NSE_EQ|INE296C01020,8159,FIBERWEB,FIBERWEB INDIA LIMITED,40.84
NSE_EQ|INE637H01024,13756,SHIVAMAUTO,SHIVAM AUTO.LTD,40.87
NSE_EQ|INE854S01022,2188,GENCON,GENERIC ENG CONS PROJ LTD,40.88
NSE_EQ|INE080B01012,3009,KOHINOOR,KOHINOOR FOODS LIMITED,41.22
NSE_EQ|INE306A01021,308,BAJAJHIND,BAJAJ HINDUSTHAN SUGAR LT,41.73
NSE_EQ|INE153A01019,2294,MTNL,MAHANAGAR TELEPHONE NIGAM,42.16
NSE_EQ|INE07O001026,2792,EASEMYTRIP,EASY TRIP PLANNERS LTD,42.33
NSE_EQ|INE680A01011,11359,DHANBANK,DHANLAXMI BANK LIMITED,42.45
NSE_EQ|INE0O3901029,17795,TREL,TRANSINDIA REAL ESTATE L,42.53
NSE_EQ|INE034D01049,14101,PTL,PTL ENTERPRISES LTD,42.66
NSE_EQ|INE610C01014,181,ARENTERP,RAJDARSHAN INDUSTRIES LTD,42.73
NSE_EQ|INE388G01026,19501,TCLCONS,TANTIA CONSTRUCTIONS LTD,42.8
NSE_EQ|INE156A01020,10993,INDORAMA,INDO RAMA SYNTHETICS LTD,42.94
NSE_EQ|INE925C01016,15155,MADHAV,MADHAV MARBLE & GRANITE,43.02
NSE_EQ|INE186H01022,12034,BASML,BANNARI AM SPIN MILL LTD.,43.85
NSE_EQ|INE886H01027,14208,TV18BRDCST,TV18 BROADCAST LIMITED,44.09
NSE_EQ|INE875G01030,31258,NDL,NANDAN DENIM LIMITED,44.13
NSE_EQ|INE802G01018,13420,JETAIRWAYS,JET AIRWAYS (INDIA) LTD.,44.17
NSE_EQ|INE771A01026,4394,MIRZAINT,MIRZA INTERNATIONAL LIMIT,44.44
NSE_EQ|INE790B01024,4809,KCPSUGIND,KCP SUGAR IND CORP LTD.,44.69
NSE_EQ|INE572G01025,23027,LANCORHOL,LANCOR HOLDINGS LIMITED,44.74
NSE_EQ|INE157H01023,14667,KMSUGAR,K M SUGAR MILLS LTD,44.83
NSE_EQ|INE142A01012,2514,OSWALAGRO,OSWAL AGRO MILLS LTD,44.93
NSE_EQ|INE452L01012,17507,INCREDIBLE,INCREDIBLE INDUSTRIES LTD,45.18
NSE_EQ|INE740V01019,9046,AGROPHOS,AGRO PHOS INDIA LIMITED,45.75
NSE_EQ|INE368I01016,255,NIRAJ,NIRAJ CEMENT STRUC LTD,46.08
NSE_EQ|INE692B01014,2313,MURUDCERA,MURUDESHWAR CERAMICS LTD,46.37
NSE_EQ|INE863I01016,15303,BANG,BANG OVERSEAS LTD.,46.48
NSE_EQ|INE122M01019,25634,ESSARSHPNG,ESSAR SHIPPING LTD,46.63
NSE_EQ|INE236Y01012,5401,NGIL,NAKODA GROUP OF IND. LTD,46.64
NSE_EQ|INE696V01013,5519,JAIPURKURT,NANDANI CREATION LIMITED,46.81
NSE_EQ|INE156C01018,13463,PIONEEREMB,PIONEER EMBROIDERIES LTD,46.81
NSE_EQ|INE610B01024,4548,GUJRAFFIA,GUJARAT RAFFIA INDUST LTD,46.88
NSE_EQ|INE198H01019,5248,AAREYDRUGS,AAREY DRUGS & PHARM LTD,47.16
NSE_EQ|INE854B01010,2331,JAYNECOIND,JAYASWAL NECO INDUSTR LTD,47.2
NSE_EQ|INE274G01010,15384,DHANI,DHANI SERVICES LIMITED,47.52
